feature,role,source_table,feature_family,n_total,n_valid,valid_ratio,n_missing,missing_ratio,n_unique,mean,median,std,iqr,min,max,usable,reason
ecg_der__orthostatic_after__ratio__hrv_time__SDNN_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,1.7983773511540393,1.3897540537769464,1.1793756744868755,0.8582849975131905,0.3110579540236822,5.033657261571904,True,ok
ecg_der__orthostatic_after__delta__hrv_time__RMSSD_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,9.820203158969887,-7.3330185988587075,69.41539891538969,11.78194663766721,-43.173125852815176,303.0266061849267,True,ok
ecg_der__orthostatic_after__percent_delta__hrv_time__RMSSD_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,20.631087701424143,-22.662806205883513,151.97288994936613,33.67674977208651,-78.48161954119975,649.2413777746987,True,ok
ecg_der__orthostatic_after__ratio__hrv_time__RMSSD_ms,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,1.2063108770142417,0.7733719379411649,1.5197288994936617,0.3367674977208651,0.2151838045880024,7.492413777746988,True,ok
ecg_der__orthostatic_after__delta__hrv_time__pNN50_percent,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,22,-14.323620377626055,-9.938946601057042,13.031723286514683,9.154313340168603,-49.21197793538219,6.263135771332491,True,ok
ecg_der__orthostatic_after__percent_delta__hrv_time__pNN50_percent,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,19,-66.5323410842284,-72.94197031039135,42.55185799080965,36.765017947477496,-100.0,95.5128205128205,True,ok
ecg_der__orthostatic_after__ratio__hrv_time__pNN50_percent,input,ecg_derived,hrv_time,22,22,1.0,0,0.0,19,0.33467658915771586,0.2705802968960863,0.42551857990809655,0.36765017947477496,0.0,1.9551282051282048,True,ok
ecg_der__orthostatic_after__delta__hrv_freq__LF_power,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,0.002865437401566982,0.0002657968436479,0.012223217605961588,0.0005607564528963751,-0.0007457643033851,0.0575407418375453,True,ok
ecg_der__orthostatic_after__percent_delta__hrv_freq__LF_power,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,630.4523785551751,98.93697689515784,1661.7229994116942,218.199146462576,-85.32413187560469,6309.117753306849,True,ok
ecg_der__orthostatic_after__ratio__hrv_freq__LF_power,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,7.30452378555175,1.9893697689515784,16.617229994116943,2.18199146462576,0.146758681243953,64.0911775330685,True,ok
ecg_der__orthostatic_after__delta__hrv_freq__HF_power,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,0.0026893337825962434,-8.79083041193192e-05,0.012859162620791093,0.00025994186058222497,-0.0007696920059395,0.0602208242864234,True,ok
ecg_der__orthostatic_after__percent_delta__hrv_freq__HF_power,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,381.1613745478731,-56.24905472276808,1809.925639150797,116.48026180661628,-91.91559030508463,8468.654227493993,True,ok
ecg_der__orthostatic_after__ratio__hrv_freq__HF_power,input,ecg_derived,hrv_freq,22,22,1.0,0,0.0,22,4.811613745478731,0.4375094527723191,18.09925639150797,1.164802618066163,0.0808440969491535,85.68654227493992,True,ok
